"dataset","method","pval_method","bh_cutoff","bon_cutoff","bon_sig_hits","size","size_raw","filename"
"GeuvadisCEU","FULLICApy","bh","0.1",3.59794854748729e-12,20105,"2843.2 Mb",2981307933,"GeuvadisCEU_FULLICApy_bh_0.1_hits.txt"
"GeuvadisCEU","ICEpy","bh","0.1",3.59794854748729e-12,6686,"16 Mb",16779283,"GeuvadisCEU_ICEpy_bh_0.1_hits.txt"
"GeuvadisCEU","OLDICApy","bh","0.1",3.59794854748729e-12,8300,"28.7 Mb",30067530,"GeuvadisCEU_OLDICApy_bh_0.1_hits.txt"
"GeuvadisCEU","PANAMApy","bh","0.1",3.59794854748729e-12,7144,"20.3 Mb",21297616,"GeuvadisCEU_PANAMApy_bh_0.1_hits.txt"
"GeuvadisCEU","PARTICApy","bh","0.1",3.59794854748729e-12,17289,"1656.8 Mb",1737307488,"GeuvadisCEU_PARTICApy_bh_0.1_hits.txt"
"GeuvadisCEU","PCALMMpy","bh","0.1",3.59794854748729e-12,27547,"3646.7 Mb",3823876650,"GeuvadisCEU_PCALMMpy_bh_0.1_hits.txt"
"GeuvadisCEU","SCALEICApy","bh","0.1",3.59794854748729e-12,8725,"32.5 Mb",34121881,"GeuvadisCEU_SCALEICApy_bh_0.1_hits.txt"
"GTExBVAorta","FULLICApy","bh","0.1",1.9987084917357e-12,10938,"3.2 Mb",3325033,"GTExBVAorta_FULLICApy_bh_0.1_hits.txt"
"GTExBVAorta","ICEpy","bh","0.1",1.9987084917357e-12,10961,"2.5 Mb",2626892,"GTExBVAorta_ICEpy_bh_0.1_hits.txt"
"GTExBVAorta","OLDICApy","bh","0.1",1.9987084917357e-12,11170,"13.7 Mb",14316473,"GTExBVAorta_OLDICApy_bh_0.1_hits.txt"
"GTExBVAorta","PANAMApy","bh","0.1",1.9987084917357e-12,12893,"3.6 Mb",3750435,"GTExBVAorta_PANAMApy_bh_0.1_hits.txt"
"GTExBVAorta","PARTICApy","bh","0.1",1.9987084917357e-12,14979,"46.8 Mb",49097106,"GTExBVAorta_PARTICApy_bh_0.1_hits.txt"
"GTExBVAorta","PCALMMpy","bh","0.1",1.9987084917357e-12,12413,"25.1 Mb",26369387,"GTExBVAorta_PCALMMpy_bh_0.1_hits.txt"
"GTExBVAorta","SCALEICApy","bh","0.1",1.9987084917357e-12,9854,"2.7 Mb",2872056,"GTExBVAorta_SCALEICApy_bh_0.1_hits.txt"
"GTExBVCorArtery","FULLICApy","bh","0.1",1.9798043715744e-12,2489,"1.4 Mb",1494492,"GTExBVCorArtery_FULLICApy_bh_0.1_hits.txt"
"GTExBVCorArtery","ICEpy","bh","0.1",1.9798043715744e-12,2597,"0.7 Mb",775517,"GTExBVCorArtery_ICEpy_bh_0.1_hits.txt"
