"dataset","method","pval_method","bh_cutoff","bon_cutoff","size","size_raw","filename","NA"
"GeuvadisCEU","ICEr","bh","0.05","0.000972903766304303","1262828","87.3 Mb","91585071","GeuvadisCEU_ICEr_bh_0.05_hits.txt"
"GeuvadisCEU","ICEr","bh","0.3","0.000972903766304303","21349320","1453.1 Mb","1523726227","GeuvadisCEU_ICEr_bh_0.3_hits.txt"
"GeuvadisCEU","LINEARr","bh","0.05","0.000972903766304303","133899","9.3 Mb","9727713","GeuvadisCEU_LINEARr_bh_0.05_hits.txt"
"GeuvadisCEU","LINEARr","bh","0.3","0.000972903766304303","1026272","70 Mb","73377012","GeuvadisCEU_LINEARr_bh_0.3_hits.txt"
"GeuvadisCEU","PANAMAr","bh","0.05","0.000972903766304303","1286587","89.1 Mb","93456039","GeuvadisCEU_PANAMAr_bh_0.05_hits.txt"
"GeuvadisCEU","PANAMAr","bh","0.3","0.000972903766304303","11539453","786.5 Mb","824734670","GeuvadisCEU_PANAMAr_bh_0.3_hits.txt"
"GeuvadisCEU","PCALMMr","bh","0.05","0.000972903766304303","1202227","83.3 Mb","87328427","GeuvadisCEU_PCALMMr_bh_0.05_hits.txt"
"GeuvadisCEU","PCALMMr","bh","0.3","0.000972903766304303","11090720","755.9 Mb","792624223","GeuvadisCEU_PCALMMr_bh_0.3_hits.txt"
"GeuvadisCEU","PEERr","bh","0.05","0.000972903766304303","127651","8.8 Mb","9275079","GeuvadisCEU_PEERr_bh_0.05_hits.txt"
"GeuvadisCEU","PEERr","bh","0.3","0.000972903766304303","977950","66.7 Mb","69920011","GeuvadisCEU_PEERr_bh_0.3_hits.txt"
"GeuvadisFIN","ICEr","bh","0.05","0.000972903766304303","826924","57.2 Mb","60019227","GeuvadisFIN_ICEr_bh_0.05_hits.txt"
"GeuvadisFIN","ICEr","bh","0.3","0.000972903766304303","13213274","899.5 Mb","943178027","GeuvadisFIN_ICEr_bh_0.3_hits.txt"
"GeuvadisFIN","LINEARr","bh","0.05","0.000972903766304303","102108","7.1 Mb","7424934","GeuvadisFIN_LINEARr_bh_0.05_hits.txt"
"GeuvadisFIN","LINEARr","bh","0.3","0.000972903766304303","729911","49.8 Mb","52204455","GeuvadisFIN_LINEARr_bh_0.3_hits.txt"
"GeuvadisFIN","PANAMAr","bh","0.05","0.000972903766304303","745626","51.7 Mb","54173825","GeuvadisFIN_PANAMAr_bh_0.05_hits.txt"
"GeuvadisFIN","PANAMAr","bh","0.3","0.000972903766304303","7293815","497.1 Mb","521206846","GeuvadisFIN_PANAMAr_bh_0.3_hits.txt"
"GeuvadisFIN","PCALMMr","bh","0.05","0.000972903766304303","669982","46.4 Mb","48673056","GeuvadisFIN_PCALMMr_bh_0.05_hits.txt"
"GeuvadisFIN","PCALMMr","bh","0.3","0.000972903766304303","6778882","461.9 Mb","484353471","GeuvadisFIN_PCALMMr_bh_0.3_hits.txt"
"GeuvadisFIN","PEERr","bh","0.05","0.000972903766304303","112310","7.8 Mb","8170098","GeuvadisFIN_PEERr_bh_0.05_hits.txt"
"GeuvadisFIN","PEERr","bh","0.3","0.000972903766304303","781198","53.3 Mb","55887307","GeuvadisFIN_PEERr_bh_0.3_hits.txt"
"GeuvadisGBR","ICEr","bh","0.3","0.000972903766304303","12895354","877.7 Mb","920304396","GeuvadisGBR_ICEr_bh_0.3_hits.txt"
"GeuvadisGBR","LINEARr","bh","0.3","0.000972903766304303","478019","32.6 Mb","34170017","GeuvadisGBR_LINEARr_bh_0.3_hits.txt"
"GeuvadisGBR","PANAMAr","bh","0.3","0.000972903766304303","6530890","444.9 Mb","466512455","GeuvadisGBR_PANAMAr_bh_0.3_hits.txt"
"GeuvadisGBR","PCALMMr","bh","0.3","0.000972903766304303","6087364","414.7 Mb","434799183","GeuvadisGBR_PCALMMr_bh_0.3_hits.txt"
"GeuvadisGBR","PEERr","bh","0.3","0.000972903766304303","555392","37.9 Mb","39701843","GeuvadisGBR_PEERr_bh_0.3_hits.txt"
"GeuvadisTSI","ICEr","bh","0.3","0.000972903766304303","12121500","825 Mb","865052657","GeuvadisTSI_ICEr_bh_0.3_hits.txt"
"GeuvadisTSI","LINEARr","bh","0.3","0.000972903766304303","763835","52.1 Mb","54618635","GeuvadisTSI_LINEARr_bh_0.3_hits.txt"
